train/loss_MS_SSIM_step,train/loss_MSE_step,train/loss_BCE_step,epoch,step,val/loss_MS_SSIM,val/loss_MSE,val/loss_BCE,train/loss_MS_SSIM_epoch,train/loss_MSE_epoch,train/loss_BCE_epoch,test/loss_MS_SSIM,test/loss_MSE,test/loss_BCE
45.73659896850586,0.1383039653301239,0.6889605522155762,0,49,,,,,,,,,
39.65488815307617,0.1447555422782898,0.6882582902908325,0,99,,,,,,,,,
44.144500732421875,0.14656272530555725,0.6903475522994995,0,149,,,,,,,,,
47.68810272216797,0.13784638047218323,0.6798934936523438,0,199,,,,,,,,,
48.13479232788086,0.12383834272623062,0.6823592185974121,0,249,,,,,,,,,
,,,0,295,39.13177490234375,0.13425599038600922,0.683523952960968,,,,,,
,,,0,295,,,,44.68499755859375,0.13546150922775269,0.6859157085418701,,,
48.26957702636719,0.14015284180641174,0.6891523599624634,1,299,,,,,,,,,
39.12931823730469,0.12827929854393005,0.6883021593093872,1,349,,,,,,,,,
30.659740447998047,0.13997706770896912,0.6832655668258667,1,399,,,,,,,,,
38.593841552734375,0.13484272360801697,0.6784871816635132,1,449,,,,,,,,,
43.047584533691406,0.12607356905937195,0.6688004732131958,1,499,,,,,,,,,
38.18354797363281,0.12785658240318298,0.6741669178009033,1,549,,,,,,,,,
,,,1,591,36.80829620361328,0.12857645750045776,0.6725066304206848,,,,,,
,,,1,591,,,,40.15547561645508,0.1312326192855835,0.6779035329818726,,,
35.38700485229492,0.116190604865551,0.6741800308227539,2,599,,,,,,,,,
40.77080535888672,0.12863034009933472,0.6684484481811523,2,649,,,,,,,,,
43.19731140136719,0.14004230499267578,0.6645358800888062,2,699,,,,,,,,,
33.21994400024414,0.13292527198791504,0.678207278251648,2,749,,,,,,,,,
39.81992721557617,0.13291674852371216,0.6715945601463318,2,799,,,,,,,,,
39.510108947753906,0.11809779703617096,0.6433725953102112,2,849,,,,,,,,,
,,,2,887,35.697540283203125,0.12170828878879547,0.6574857831001282,,,,,,
,,,2,887,,,,39.06615447998047,0.12463975697755814,0.6644635200500488,,,
36.58158874511719,0.12983864545822144,0.6489380598068237,3,899,,,,,,,,,
34.390865325927734,0.11092327535152435,0.6641623377799988,3,949,,,,,,,,,
46.919429779052734,0.1333487629890442,0.6667953133583069,3,999,,,,,,,,,
40.39271926879883,0.11017408967018127,0.6522398591041565,3,1049,,,,,,,,,
35.191471099853516,0.11793209612369537,0.6478261947631836,3,1099,,,,,,,,,
44.320274353027344,0.11470168828964233,0.6527698040008545,3,1149,,,,,,,,,
,,,3,1183,35.346229553222656,0.11579519510269165,0.6460493803024292,,,,,,
,,,3,1183,,,,38.10137176513672,0.12081293016672134,0.6565434336662292,,,
39.90877914428711,0.1134636253118515,0.6404433846473694,4,1199,,,,,,,,,
26.98915672302246,0.11235333979129791,0.6335253715515137,4,1249,,,,,,,,,
